无敌破坏王,2012,8.7,493325人评价
东邪西毒,1994,8.6,537172人评价
真爱至上,2003,8.6,677208人评价
疯狂的石头,2006,8.5,750719人评价
茶馆,1982(中国大陆),9.5,108018人评价
冰川时代,2002,8.6,568816人评价
雨中曲,1952,9.1,199811人评价
你看起来好像很好吃,2010,8.9,309052人评价
恐怖游轮,2009,8.5,774442人评价
黑天鹅,2010,8.6,739828人评价
2001太空漫游,1968,8.9,286564人评价
魔女宅急便,1989,8.7,421597人评价
雨人,1988,8.7,376413人评价
恋恋笔记本,2004,8.6,617451人评价
遗愿清单,2007,8.7,404461人评价
无间道2,2003,8.7,421704人评价
牯岭街少年杀人事件,1991,8.9,261485人评价
可可西里,2004,8.9,277777人评价
大佛普拉斯,2017,8.7,405803人评价
城市之光,1931,9.3,130987人评价
萤火虫之墓,1988,8.7,382935人评价
背靠背，脸对脸,1994,9.5,107145人评价
小丑,2019,8.7,927110人评价
源代码,2011,8.5,776898人评价
虎口脱险,1966,8.9,232228人评价
初恋这件小事,2010,8.5,926348人评价
东京教父,2003,9.0,192475人评价
人工智能,2001,8.7,409428人评价
海边的曼彻斯特,2016,8.6,466302人评价
罗生门,1950,8.8,287970人评价
终结者2：审判日,1991,8.8,315712人评价
青蛇,1993,8.6,481608人评价
波西米亚狂想曲,2018,8.6,551154人评价
二十二,2015,8.7,275526人评价
奇迹男孩,2017,8.6,518027人评价
疯狂的麦克斯4：狂暴之路,2015,8.6,484999人评价
新龙门客栈,1992,8.7,407201人评价
房间,2015,8.8,349146人评价
无耻混蛋,2009,8.6,436850人评价
心灵奇旅,2020,8.7,876120人评价
血钻,2006,8.7,348549人评价
千钧一发,1997,8.8,263774人评价
魂断蓝桥,1940,8.8,256117人评价
步履不停,2008,8.8,255604人评价
黑客帝国2：重装上阵,2003,8.7,375688人评价
彗星来的那一夜,2013,8.5,515370人评价
崖上的波妞,2008,8.6,442052人评价
战争之王,2005,8.7,335693人评价
爱乐之城,2016,8.4,804249人评价
谍影重重2,2004,8.7,326329人评价
燃情岁月,1994,8.8,267170人评价
末路狂花,1991,8.9,216731人评价
阿飞正传,1990,8.5,467114人评价
火星救援,2015,8.5,657695人评价
谍影重重,2002,8.6,392494人评价
再次出发之纽约遇见你,2013,8.6,397361人评价
海洋,2009,9.1,150159人评价
朗读者,2008,8.6,429651人评价
穿越时空的少女,2006,8.6,356927人评价
千年女优,2001,8.8,232309人评价
香水,2006,8.5,511000人评价
地球上的星星,2007,8.9,190686人评价
我爱你,2011,9.1,153158人评价
完美陌生人,2016,8.5,492867人评价
弱点,2009,8.7,264395人评价
驴得水,2016,8.3,857369人评价
浪潮,2008,8.7,257630人评价
